Award Year,Organization Receiving Award,Use of Funds,Award Type,Amount,Type of Assistance
FY2021,Escapology Clackamas,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Catalyst Seafood Co Inc.,Operational Assistance,Grant,57000,Commercial Rent Relief and Operational Assistance
FY2021,IRONSIDE FITNESS,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Gateway Cafe,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Hungry Inc,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,3'S COMPANY DBA BUCKNUM'S,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Blondee Salon,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,HEAD TO TOES SALON CARE,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,"Destiny Entertainment Corporation, DBA Hermiston Cinema",Operational Assistance,Grant,45000,Commercial Rent Relief and Operational Assistance
FY2021,Desert Lanes Restaurant & Lounge,Operational Assistance,Grant,54000,Commercial Rent Relief and Operational Assistance
FY2021,Elle 320 -the salon,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Morizi Jiu-Jitsu LLC,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Simply Divine Salon and Day Spa,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,The Pheasant Blue Collar Bar & Grill,Operational Assistance,Grant,21000,Commercial Rent Relief and Operational Assistance
FY2021,Goodfit LLC,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Midway Bar & Grill,Operational Assistance,Grant,75000,Commercial Rent Relief and Operational Assistance
FY2021,KOBE HIBACHI SUSHI,Operational Assistance,Grant,21000,Commercial Rent Relief and Operational Assistance
FY2021,"Higher Power FItness, LLC",Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Pho Quan LLC,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Jennifer Solina,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Shari's,Operational Assistance,Grant,33000,Commercial Rent Relief and Operational Assistance
FY2021,Jr?s Barbershop,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Properkutz,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Golden Palace,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Hermiston Tavern,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Neighbor Dudes Tap Room,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,"Keri Needles, LMT",Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Andre Grande Inc. dba Schmizza Public House-Orenco,Operational Assistance,Grant,30000,Commercial Rent Relief and Operational Assistance
FY2021,Mainbrew/ABV Public House,Operational Assistance,Grant,75000,Commercial Rent Relief and Operational Assistance
FY2021,ChennaiMasala,Operational Assistance,Grant,21000,Commercial Rent Relief and Operational Assistance
FY2021,KEDA Management Inc DBA Szechuan Garden Chinese Restaurant,Operational Assistance,Grant,36000,Commercial Rent Relief and Operational Assistance
FY2021,Wildwood Taphouse,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Hair by Marie,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Champions Sports Bar & Grill,Operational Assistance,Grant,24000,Commercial Rent Relief and Operational Assistance
FY2021,Insomnia Coffee Company Tanasbourne,Operational Assistance,Grant,36000,Commercial Rent Relief and Operational Assistance
FY2021,Insomnia Coffee Company 3rd & Main,Operational Assistance,Grant,51000,Commercial Rent Relief and Operational Assistance
FY2021,Baja Fresh (reedville Baja llc,Operational Assistance,Grant,36000,Commercial Rent Relief and Operational Assistance
FY2021,Park Lanes Inc,Operational Assistance,Grant,75000,Commercial Rent Relief and Operational Assistance
FY2021,Dynamic Bodyworks,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Oregon Good Eats LLC DBA Boomers Place,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,The Soda District,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,BETTE'S PLACE RESTAURANT,Operational Assistance,Grant,42000,Commercial Rent Relief and Operational Assistance
FY2021,Diesel Athletics,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Whiskey Tango,Operational Assistance,Grant,18000,Commercial Rent Relief and Operational Assistance
FY2021,Little Splashes Swim School LLC,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Oregon Center for Optimal Health,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,"Heights Taproom LLC, DBA Slopeswell",Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,"Double Mountain, LLC",Operational Assistance,Grant,75000,Commercial Rent Relief and Operational Assistance
FY2021,Columbia Gorge Hotel & Spa,Operational Assistance,Grant,63000,Commercial Rent Relief and Operational Assistance
FY2021,"Romuls West, LLC",Operational Assistance,Grant,21000,Commercial Rent Relief and Operational Assistance
FY2021,Brimstone Boulders,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,A Cherry On Top,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Good Earth Foods LLC dba Saw Tooth Roadhouse,Operational Assistance,Grant,21000,Commercial Rent Relief and Operational Assistance
FY2021,Ground Coffee LLC,Operational Assistance,Grant,63000,Commercial Rent Relief and Operational Assistance
FY2021,Volcanic Bottle Shoppe,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,"Fox-Tail Cider, Inc.",Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Hannabliss LLC,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,"Orchard Lanes, Inc",Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Hot Point,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Gorge Body Therapy,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,KOBE SUSHI + BAR,Operational Assistance,Grant,48000,Commercial Rent Relief and Operational Assistance
FY2021,"Spa Remedease, LLC",Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Lost Lake Resort,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Skylight Entertainment dba Andrew's Pizza & Bakery,Operational Assistance,Grant,39000,Commercial Rent Relief and Operational Assistance
FY2021,the clay commons/somegirlspottery,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,"Evoke Wines, LLC",Operational Assistance,Grant,33000,Commercial Rent Relief and Operational Assistance
FY2021,Boda's Kitchen,Operational Assistance,Grant,42000,Commercial Rent Relief and Operational Assistance
FY2021,HOOD RIVER SPORTS CLUB INC,Operational Assistance,Grant,39000,Commercial Rent Relief and Operational Assistance
FY2021,Pietro's Pizza,Operational Assistance,Grant,39000,Commercial Rent Relief and Operational Assistance
FY2021,Hood River Skin Bar,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Nicole hair,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Atomic Hair Lounge,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Sixth Street Bistro and Loft,Operational Assistance,Grant,63000,Commercial Rent Relief and Operational Assistance
FY2021,Warsaw Enterprises Inc,Operational Assistance,Grant,30000,Commercial Rent Relief and Operational Assistance
FY2021,Indian Creek Golf LLC,Operational Assistance,Grant,72000,Commercial Rent Relief and Operational Assistance
FY2021,River City Saloon Inc.,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Joy's Art Studio,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Studio 10,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,The Valkyrie Wine Tavern,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,PERK AND BREWS,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,The Rustic Truck Bar & Grill,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,LUCKYS PLACE,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,BAG Enterprises Inc dba J'Ville Tavern,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Wild Wines,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Valley View Winery,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,CK Coffee Company LLC,Operational Assistance,Grant,33000,Commercial Rent Relief and Operational Assistance
FY2021,Snap Fitness,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,umi sushi #1,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,"WILDE BEAUTY, LLC",Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Lisa A Marecki dba Studio L Nails & Esthetics,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Derek's Barber Shop,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,WKR 1 INC dba Tommy's Welcome Inn,Operational Assistance,Grant,24000,Commercial Rent Relief and Operational Assistance
FY2021,Canyon Creek Cross Training,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Katrina's Barber Shop and Salon,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Kori Martin Nails,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Murray Fitness,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,"SNAFFLE BIT DINNER HOUSE, INC.",Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,"UGLY TRUTH BAR & GRILL, INC.",Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,"GRUBSTEAK RESTAURANT, INC.",Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,"SQUEEZE IN RESTAURANT, LLC",Operational Assistance,Grant,36000,Commercial Rent Relief and Operational Assistance
FY2021,Backwoods Beauty,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,"Body, Fitness, & Dance",Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,"PJT, INC.",Operational Assistance,Grant,21000,Commercial Rent Relief and Operational Assistance
FY2021,"SANTOS FOOD & TREATS, INC.",Operational Assistance,Grant,48000,Commercial Rent Relief and Operational Assistance
FY2021,"Cloud 9 Hair Salon, LLC",Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,"1188 Brewing Company, LLC",Operational Assistance,Grant,36000,Commercial Rent Relief and Operational Assistance
FY2021,Wild West Hair Co,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Teresa Sajonia LLC,Operational Assistance,Grant,54000,Commercial Rent Relief and Operational Assistance
FY2021,"Victoria Mosse, Ltd. DBA: BodyChange Pilates and Dynamic Therapies",Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Dandi Hair to Toe,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Kathleen Egan,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,SUPERCUTS,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,"Salon 124 Enterprise, Inc.",Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Shari's,Operational Assistance,Grant,15000,Commercial Rent Relief and Operational Assistance
FY2021,"La Hacienda Real II, inc",Operational Assistance,Grant,75000,Commercial Rent Relief and Operational Assistance
FY2021,Mackenzie?s Esthetics,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,KING WAH RESTAURANT & LOUNGE INC,Operational Assistance,Grant,75000,Commercial Rent Relief and Operational Assistance
FY2021,"Wubba's BBQ Shack, LLC",Operational Assistance,Grant,57000,Commercial Rent Relief and Operational Assistance
FY2021,"Redneck Red's Restaurant, LLC",Operational Assistance,Grant,21000,Commercial Rent Relief and Operational Assistance
FY2021,Nichole smith,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,D&G Holdings Northwest LLC DBA Crazy R Pizza,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Hogback Warrior Ethos LLC,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,"S & W DINNING, INC. dba RED ROOSTER GRILL & PUB",Operational Assistance,Grant,36000,Commercial Rent Relief and Operational Assistance
